,ts_code,symbol,name,area,industry,market,list_date,exchange
28,000036.SZ,000036,华联控股,深圳,全国地产,主板,19940617,SZ
29,000037.SZ,000037,深南电A,深圳,火力发电,主板,19940701,SZ
30,000038.SZ,000038,*ST大通,深圳,综合类,主板,19940808,SZ
31,000039.SZ,000039,中集集团,深圳,运输设备,主板,19940408,SZ
32,000040.SZ,000040,东旭蓝天,深圳,新型电力,主板,19940808,SZ
33,000042.SZ,000042,中洲控股,深圳,全国地产,主板,19940921,SZ
34,000045.SZ,000045,深纺织A,深圳,元器件,主板,19940815,SZ
35,000046.SZ,000046,泛海控股,北京,多元金融,主板,19940912,SZ
36,000048.SZ,000048,京基智农,深圳,区域地产,主板,19941101,SZ
37,000049.SZ,000049,德赛电池,深圳,电气设备,主板,19950320,SZ
38,000050.SZ,000050,深天马A,深圳,元器件,主板,19950315,SZ
39,000055.SZ,000055,方大集团,深圳,装修装饰,主板,19960415,SZ
40,000056.SZ,000056,皇庭国际,深圳,房产服务,主板,19960708,SZ
41,000058.SZ,000058,深赛格,深圳,商品城,主板,19961226,SZ
42,000059.SZ,000059,华锦股份,辽宁,石油加工,主板,19970130,SZ
43,000060.SZ,000060,中金岭南,深圳,铅锌,主板,19970123,SZ
44,000061.SZ,000061,农产品,深圳,农业综合,主板,19970110,SZ
45,000062.SZ,000062,深圳华强,深圳,元器件,主板,19970130,SZ
46,000063.SZ,000063,中兴通讯,深圳,通信设备,主板,19971118,SZ
47,000065.SZ,000065,北方国际,北京,建筑工程,主板,19980605,SZ
48,000066.SZ,000066,中国长城,深圳,IT设备,主板,19970626,SZ
49,000068.SZ,000068,华控赛格,深圳,环境保护,主板,19970611,SZ
50,000069.SZ,000069,华侨城A,深圳,旅游景点,主板,19970910,SZ
51,000070.SZ,000070,特发信息,深圳,通信设备,主板,20000511,SZ
52,000078.SZ,000078,海王生物,深圳,医药商业,主板,19981218,SZ
53,000088.SZ,000088,盐田港,深圳,港口,主板,19970728,SZ
54,000089.SZ,000089,深圳机场,深圳,机场,主板,19980420,SZ
55,000090.SZ,000090,天健集团,深圳,建筑工程,主板,19990721,SZ
56,000096.SZ,000096,广聚能源,深圳,石油贸易,主板,20000724,SZ
57,000099.SZ,000099,中信海直,深圳,空运,主板,20000731,SZ
58,000100.SZ,000100,TCL科技,广东,元器件,主板,20040130,SZ
59,000150.SZ,000150,*ST宜康,广东,生物制药,主板,20000807,SZ
60,000151.SZ,000151,中成股份,北京,商贸代理,主板,20000906,SZ
61,000153.SZ,000153,丰原药业,安徽,化学制药,主板,20000920,SZ
62,000155.SZ,000155,川能动力,四川,新型电力,主板,20000926,SZ
63,000156.SZ,000156,华数传媒,浙江,影视音像,主板,20000906,SZ
64,000157.SZ,000157,中联重科,湖南,工程机械,主板,20001012,SZ
65,000158.SZ,000158,常山北明,河北,软件服务,主板,20000724,SZ
66,000159.SZ,000159,国际实业,新疆,石油贸易,主板,20000926,SZ
67,000166.SZ,000166,申万宏源,新疆,证券,主板,20150126,SZ
68,000301.SZ,000301,东方盛虹,江苏,化纤,主板,20000529,SZ
69,000333.SZ,000333,美的集团,广东,家用电器,主板,20130918,SZ
70,000338.SZ,000338,潍柴动力,山东,汽车配件,主板,20070430,SZ
71,000400.SZ,000400,许继电气,河南,电气设备,主板,19970418,SZ
72,000401.SZ,000401,冀东水泥,河北,水泥,主板,19960614,SZ
73,000402.SZ,000402,金融街,北京,全国地产,主板,19960626,SZ
74,000403.SZ,000403,派林生物,山西,生物制药,主板,19960628,SZ
75,000404.SZ,000404,长虹华意,江西,家用电器,主板,19960619,SZ
76,000407.SZ,000407,胜利股份,山东,供气供热,主板,19960703,SZ
77,000408.SZ,000408,藏格矿业,青海,农药化肥,主板,19960628,SZ
78,000409.SZ,000409,云鼎科技,山东,软件服务,主板,19960627,SZ
79,000410.SZ,000410,*ST沈机,辽宁,机床制造,主板,19960718,SZ
80,000411.SZ,000411,英特集团,浙江,医药商业,主板,19960716,SZ
81,000413.SZ,000413,东旭光电,河北,元器件,主板,19960925,SZ
82,000415.SZ,000415,渤海租赁,新疆,多元金融,主板,19960716,SZ
83,000416.SZ,000416,民生控股,山东,多元金融,主板,19960719,SZ
84,000417.SZ,000417,合肥百货,安徽,百货,主板,19960812,SZ
85,000419.SZ,000419,通程控股,湖南,百货,主板,19960816,SZ
86,000420.SZ,000420,吉林化纤,吉林,化纤,主板,19960802,SZ
87,000421.SZ,000421,南京公用,江苏,供气供热,主板,19960806,SZ
88,000422.SZ,000422,湖北宜化,湖北,农药化肥,主板,19960815,SZ
89,000423.SZ,000423,东阿阿胶,山东,中成药,主板,19960729,SZ
90,000425.SZ,000425,徐工机械,江苏,工程机械,主板,19960828,SZ
91,000426.SZ,000426,兴业矿业,内蒙,铅锌,主板,19960828,SZ
92,000428.SZ,000428,华天酒店,湖南,酒店餐饮,主板,19960808,SZ
93,000429.SZ,000429,粤高速A,广东,路桥,主板,19980220,SZ
94,000430.SZ,000430,张家界,湖南,旅游景点,主板,19960829,SZ
95,000488.SZ,000488,晨鸣纸业,山东,造纸,主板,20001120,SZ
96,000498.SZ,000498,山东路桥,山东,建筑工程,主板,19970609,SZ
97,000501.SZ,000501,武商集团,湖北,百货,主板,19921120,SZ
98,000503.SZ,000503,国新健康,山东,软件服务,主板,19921130,SZ
99,000504.SZ,000504,南华生物,湖南,医疗保健,主板,19921208,SZ
100,000505.SZ,000505,京粮控股,海南,食品,主板,19921221,SZ
101,000506.SZ,000506,中润资源,山东,黄金,主板,19930312,SZ
102,000507.SZ,000507,珠海港,广东,港口,主板,19930326,SZ
103,000509.SZ,000509,华塑控股,四川,元器件,主板,19930507,SZ
104,000510.SZ,000510,新金路,四川,化工原料,主板,19930507,SZ
105,000513.SZ,000513,丽珠集团,广东,化学制药,主板,19931028,SZ
106,000514.SZ,000514,渝开发,重庆,区域地产,主板,19930712,SZ
107,000516.SZ,000516,国际医学,陕西,医疗保健,主板,19930809,SZ
108,000517.SZ,000517,荣安地产,浙江,区域地产,主板,19930806,SZ
109,000518.SZ,000518,四环生物,江苏,生物制药,主板,19930908,SZ
110,000519.SZ,000519,中兵红箭,湖南,专用机械,主板,19931008,SZ
111,000520.SZ,000520,长航凤凰,湖北,水运,主板,19931025,SZ
112,000521.SZ,000521,长虹美菱,安徽,家用电器,主板,19931018,SZ
113,000523.SZ,000523,广州浪奇,广东,日用化工,主板,19931108,SZ
114,000524.SZ,000524,岭南控股,广东,旅游服务,主板,19931118,SZ
115,000525.SZ,000525,ST红太阳,江苏,农药化肥,主板,19931028,SZ
116,000526.SZ,000526,学大教育,福建,文教休闲,主板,19931101,SZ
117,000528.SZ,000528,柳工,广西,工程机械,主板,19931118,SZ
118,000529.SZ,000529,广弘控股,广东,出版业,主板,19931118,SZ
119,000530.SZ,000530,冰山冷热,辽宁,机械基件,主板,19931208,SZ
120,000531.SZ,000531,穗恒运A,广东,火力发电,主板,19940106,SZ
121,000532.SZ,000532,华金资本,广东,多元金融,主板,19940103,SZ
122,000533.SZ,000533,顺钠股份,广东,电气设备,主板,19940103,SZ
123,000534.SZ,000534,万泽股份,广东,生物制药,主板,19940110,SZ
124,000536.SZ,000536,华映科技,福建,元器件,主板,19931126,SZ
125,000537.SZ,000537,广宇发展,天津,新型电力,主板,19931210,SZ
126,000538.SZ,000538,云南白药,云南,中成药,主板,19931215,SZ
127,000539.SZ,000539,粤电力A,广东,火力发电,主板,19931126,SZ
128,000540.SZ,000540,中天金融,贵州,多元金融,主板,19940202,SZ
129,000541.SZ,000541,佛山照明,广东,家用电器,主板,19931123,SZ
130,000543.SZ,000543,皖能电力,安徽,火力发电,主板,19931220,SZ
131,000544.SZ,000544,中原环保,河南,环境保护,主板,19931208,SZ
132,000545.SZ,000545,金浦钛业,吉林,化工原料,主板,19931215,SZ
133,000546.SZ,000546,金圆股份,吉林,环境保护,主板,19931215,SZ
134,000547.SZ,000547,航天发展,福建,通信设备,主板,19931130,SZ
135,000548.SZ,000548,湖南投资,湖南,路桥,主板,19931220,SZ
136,000550.SZ,000550,江铃汽车,江西,汽车整车,主板,19931201,SZ
137,000551.SZ,000551,创元科技,江苏,专用机械,主板,19940106,SZ
138,000552.SZ,000552,靖远煤电,甘肃,煤炭开采,主板,19940106,SZ
139,000553.SZ,000553,安道麦A,湖北,农药化肥,主板,19931203,SZ
140,000554.SZ,000554,泰山石油,山东,石油贸易,主板,19931215,SZ
141,000555.SZ,000555,神州信息,深圳,软件服务,主板,19940408,SZ
142,000557.SZ,000557,西部创业,宁夏,铁路,主板,19940617,SZ
143,000558.SZ,000558,莱茵体育,浙江,文教休闲,主板,19940509,SZ
144,000559.SZ,000559,万向钱潮,浙江,汽车配件,主板,19940110,SZ
145,000560.SZ,000560,我爱我家,云南,房产服务,主板,19940202,SZ
146,000561.SZ,000561,烽火电子,陕西,通信设备,主板,19940509,SZ
147,000563.SZ,000563,陕国投A,陕西,多元金融,主板,19940110,SZ
148,000564.SZ,000564,ST大集,陕西,百货,主板,19940110,SZ
149,000565.SZ,000565,渝三峡A,重庆,染料涂料,主板,19940408,SZ
150,000566.SZ,000566,海南海药,海南,化学制药,主板,19940525,SZ
151,000567.SZ,000567,海德股份,海南,多元金融,主板,19940525,SZ
152,000568.SZ,000568,泸州老窖,四川,白酒,主板,19940509,SZ
153,000570.SZ,000570,苏常柴A,江苏,农用机械,主板,19940701,SZ
154,000571.SZ,000571,ST大洲,海南,煤炭开采,主板,19940525,SZ
155,000572.SZ,000572,海马汽车,海南,汽车整车,主板,19940808,SZ
156,000573.SZ,000573,粤宏远A,广东,区域地产,主板,19940815,SZ
157,000576.SZ,000576,甘化科工,广东,食品,主板,19940907,SZ
158,000581.SZ,000581,威孚高科,江苏,汽车配件,主板,19980924,SZ
159,000582.SZ,000582,北部湾港,广西,港口,主板,19951102,SZ
160,000584.SZ,000584,哈工智能,江苏,专用机械,主板,19951128,SZ
161,000586.SZ,000586,汇源通信,四川,通信设备,主板,19951220,SZ
162,000589.SZ,000589,贵州轮胎,贵州,汽车配件,主板,19960308,SZ
163,000590.SZ,000590,启迪药业,湖南,中成药,主板,19960119,SZ
164,000591.SZ,000591,太阳能,重庆,新型电力,主板,19960208,SZ
165,000592.SZ,000592,平潭发展,福建,林业,主板,19960327,SZ
166,000593.SZ,000593,德龙汇能,四川,供气供热,主板,19960312,SZ
167,000595.SZ,000595,宝塔实业,宁夏,机械基件,主板,19960419,SZ
168,000596.SZ,000596,古井贡酒,安徽,白酒,主板,19960927,SZ
169,000597.SZ,000597,东北制药,辽宁,化学制药,主板,19960523,SZ
170,000598.SZ,000598,兴蓉环境,四川,水务,主板,19960529,SZ
171,000599.SZ,000599,青岛双星,山东,汽车配件,主板,19960430,SZ
172,000600.SZ,000600,建投能源,河北,火力发电,主板,19960606,SZ
173,000601.SZ,000601,韶能股份,广东,水力发电,主板,19960830,SZ
174,000603.SZ,000603,盛达资源,北京,铅锌,主板,19960823,SZ
175,000605.SZ,000605,渤海股份,北京,供气供热,主板,19960913,SZ
176,000606.SZ,000606,*ST顺利,青海,互联网,主板,19961004,SZ
177,000607.SZ,000607,华媒控股,浙江,广告包装,主板,19960830,SZ
178,000608.SZ,000608,阳光股份,广西,区域地产,主板,19960919,SZ
179,000609.SZ,000609,中迪投资,北京,区域地产,主板,19961010,SZ
180,000610.SZ,000610,西安旅游,陕西,旅游服务,主板,19960926,SZ
181,000612.SZ,000612,焦作万方,河南,铝,主板,19960926,SZ
182,000615.SZ,000615,奥园美谷,湖北,医疗保健,主板,19961016,SZ
183,000616.SZ,000616,ST海投,辽宁,全国地产,主板,19961108,SZ
184,000617.SZ,000617,中油资本,新疆,多元金融,主板,19961022,SZ
185,000619.SZ,000619,海螺新材,安徽,其他建材,主板,19961023,SZ
186,000620.SZ,000620,新华联,北京,全国地产,主板,19961029,SZ
187,000622.SZ,000622,恒立实业,湖南,批发业,主板,19961107,SZ
188,000623.SZ,000623,吉林敖东,吉林,中成药,主板,19961028,SZ
189,000625.SZ,000625,长安汽车,重庆,汽车整车,主板,19970610,SZ
190,000626.SZ,000626,远大控股,江苏,商贸代理,主板,19961128,SZ
191,000627.SZ,000627,天茂集团,湖北,保险,主板,19961112,SZ
192,000628.SZ,000628,高新发展,四川,建筑工程,主板,19961118,SZ
193,000629.SZ,000629,钒钛股份,四川,小金属,主板,19961115,SZ
194,000630.SZ,000630,铜陵有色,安徽,铜,主板,19961120,SZ
195,000631.SZ,000631,顺发恒业,浙江,区域地产,主板,19961122,SZ
196,000632.SZ,000632,三木集团,福建,综合类,主板,19961121,SZ
197,000633.SZ,000633,合金投资,新疆,小金属,主板,19961112,SZ
198,000635.SZ,000635,英力特,宁夏,化工原料,主板,19961120,SZ
199,000636.SZ,000636,风华高科,广东,元器件,主板,19961129,SZ
200,000637.SZ,000637,茂化实华,广东,石油加工,主板,19961114,SZ
201,000638.SZ,000638,万方发展,吉林,软件服务,主板,19961126,SZ
202,000639.SZ,000639,西王食品,山东,食品,主板,19961126,SZ
203,000650.SZ,000650,仁和药业,江西,中成药,主板,19961210,SZ
204,000651.SZ,000651,格力电器,广东,家用电器,主板,19961118,SZ
205,000652.SZ,000652,泰达股份,天津,批发业,主板,19961128,SZ
206,000655.SZ,000655,金岭矿业,山东,普钢,主板,19961128,SZ
207,000656.SZ,000656,金科股份,重庆,全国地产,主板,19961128,SZ
208,000657.SZ,000657,中钨高新,海南,小金属,主板,19961205,SZ
209,000659.SZ,000659,珠海中富,广东,广告包装,主板,19961203,SZ
210,000661.SZ,000661,长春高新,吉林,生物制药,主板,19961218,SZ
211,000663.SZ,000663,永安林业,福建,林业,主板,19961206,SZ
212,000665.SZ,000665,湖北广电,湖北,影视音像,主板,19961210,SZ
213,000666.SZ,000666,经纬纺机,北京,多元金融,主板,19961210,SZ
214,000667.SZ,000667,美好置业,云南,全国地产,主板,19961205,SZ
215,000668.SZ,000668,荣丰控股,山东,医药商业,主板,19961210,SZ
216,000669.SZ,000669,ST金鸿,吉林,供气供热,主板,19961210,SZ
217,000670.SZ,000670,盈方微,湖北,元器件,主板,19961217,SZ
218,000671.SZ,000671,阳光城,福建,区域地产,主板,19961218,SZ
219,000672.SZ,000672,上峰水泥,甘肃,水泥,主板,19961218,SZ
220,000676.SZ,000676,智度股份,广东,互联网,主板,19961224,SZ
221,000677.SZ,000677,恒天海龙,山东,化纤,主板,19961226,SZ
222,000678.SZ,000678,襄阳轴承,湖北,汽车配件,主板,19970106,SZ
223,000679.SZ,000679,大连友谊,辽宁,百货,主板,19970124,SZ
224,000680.SZ,000680,山推股份,山东,工程机械,主板,19970122,SZ
225,000681.SZ,000681,视觉中国,江苏,互联网,主板,19970121,SZ
226,000682.SZ,000682,东方电子,山东,电气设备,主板,19970121,SZ
227,000683.SZ,000683,远兴能源,内蒙,化工原料,主板,19970131,SZ
228,000685.SZ,000685,中山公用,广东,水务,主板,19970123,SZ
229,000686.SZ,000686,东北证券,吉林,证券,主板,19970227,SZ
230,000688.SZ,000688,国城矿业,重庆,铅锌,主板,19970120,SZ
231,000690.SZ,000690,宝新能源,广东,火力发电,主板,19970128,SZ
232,000691.SZ,000691,亚太实业,甘肃,化工原料,主板,19970228,SZ
233,000692.SZ,000692,惠天热电,辽宁,供气供热,主板,19970227,SZ
234,000695.SZ,000695,滨海能源,天津,广告包装,主板,19970218,SZ
235,000697.SZ,000697,*ST炼石,陕西,航空,主板,19970325,SZ
236,000698.SZ,000698,沈阳化工,辽宁,石油加工,主板,19970220,SZ
237,000700.SZ,000700,模塑科技,江苏,汽车配件,主板,19970228,SZ
238,000701.SZ,000701,厦门信达,福建,商贸代理,主板,19970226,SZ
239,000702.SZ,000702,正虹科技,湖南,饲料,主板,19970318,SZ
240,000703.SZ,000703,恒逸石化,广西,化纤,主板,19970328,SZ
241,000705.SZ,000705,浙江震元,浙江,医药商业,主板,19970410,SZ
242,000707.SZ,000707,双环科技,湖北,化工原料,主板,19970415,SZ
243,000708.SZ,000708,中信特钢,湖北,特种钢,主板,19970326,SZ
244,000709.SZ,000709,河钢股份,河北,普钢,主板,19970416,SZ
245,000710.SZ,000710,贝瑞基因,四川,医疗保健,主板,19970422,SZ
246,000711.SZ,000711,京蓝科技,黑龙江,环境保护,主板,19970411,SZ
247,000712.SZ,000712,锦龙股份,广东,证券,主板,19970415,SZ
248,000713.SZ,000713,丰乐种业,安徽,种植业,主板,19970422,SZ
249,000715.SZ,000715,中兴商业,辽宁,百货,主板,19970508,SZ
250,000716.SZ,000716,黑芝麻,广西,食品,主板,19970418,SZ
251,000717.SZ,000717,中南股份,广东,普钢,主板,19970508,SZ
252,000718.SZ,000718,苏宁环球,吉林,区域地产,主板,19970408,SZ
253,000719.SZ,000719,中原传媒,河南,出版业,主板,19970331,SZ
254,000720.SZ,000720,新能泰山,山东,仓储物流,主板,19970509,SZ
255,000721.SZ,000721,西安饮食,陕西,酒店餐饮,主板,19970430,SZ
256,000722.SZ,000722,湖南发展,湖南,其他建材,主板,19970522,SZ
257,000723.SZ,000723,美锦能源,山西,焦炭加工,主板,19970515,SZ
258,000725.SZ,000725,京东方A,北京,元器件,主板,20010112,SZ
259,000726.SZ,000726,鲁泰A,山东,纺织,主板,20001225,SZ
260,000727.SZ,000727,冠捷科技,江苏,元器件,主板,19970520,SZ
261,000728.SZ,000728,国元证券,安徽,证券,主板,19970616,SZ
262,000729.SZ,000729,燕京啤酒,北京,啤酒,主板,19970716,SZ
263,000731.SZ,000731,四川美丰,四川,农药化肥,主板,19970617,SZ
264,000732.SZ,000732,ST泰禾,福建,区域地产,主板,19970704,SZ
265,000733.SZ,000733,振华科技,贵州,元器件,主板,19970703,SZ
266,000735.SZ,000735,罗牛山,海南,农业综合,主板,19970611,SZ
267,000736.SZ,000736,中交地产,重庆,全国地产,主板,19970425,SZ
268,000737.SZ,000737,北方铜业,山西,铜,主板,19970428,SZ
269,000738.SZ,000738,航发控制,江苏,航空,主板,19970626,SZ
270,000739.SZ,000739,普洛药业,浙江,化学制药,主板,19970509,SZ
271,000750.SZ,000750,国海证券,广西,证券,主板,19970709,SZ
272,000751.SZ,000751,锌业股份,辽宁,铅锌,主板,19970626,SZ
273,000752.SZ,000752,*ST西发,西藏,啤酒,主板,19970625,SZ
274,000753.SZ,000753,漳州发展,福建,汽车服务,主板,19970626,SZ
275,000755.SZ,000755,山西路桥,山西,路桥,主板,19970627,SZ
276,000756.SZ,000756,新华制药,山东,化学制药,主板,19970806,SZ
277,000757.SZ,000757,浩物股份,四川,汽车配件,主板,19970627,SZ
278,000758.SZ,000758,中色股份,北京,铅锌,主板,19970416,SZ
279,000759.SZ,000759,中百集团,湖北,超市连锁,主板,19970519,SZ
280,000761.SZ,000761,本钢板材,辽宁,普钢,主板,19980115,SZ
281,000762.SZ,000762,西藏矿业,西藏,小金属,主板,19970708,SZ
282,000766.SZ,000766,通化金马,吉林,化学制药,主板,19970430,SZ
283,000767.SZ,000767,晋控电力,山西,火力发电,主板,19970609,SZ
284,000768.SZ,000768,中航西飞,陕西,航空,主板,19970626,SZ
285,000776.SZ,000776,广发证券,广东,证券,主板,19970611,SZ
286,000777.SZ,000777,中核科技,江苏,机械基件,主板,19970710,SZ
287,000778.SZ,000778,新兴铸管,河北,钢加工,主板,19970606,SZ
288,000779.SZ,000779,甘咨询,甘肃,建筑工程,主板,19970528,SZ
289,000782.SZ,000782,美达股份,广东,化纤,主板,19970619,SZ
290,000783.SZ,000783,长江证券,湖北,证券,主板,19970731,SZ
291,000785.SZ,000785,居然之家,湖北,百货,主板,19970711,SZ
292,000786.SZ,000786,北新建材,北京,其他建材,主板,19970606,SZ
293,000788.SZ,000788,北大医药,重庆,化学制药,主板,19970616,SZ
294,000789.SZ,000789,万年青,江西,水泥,主板,19970923,SZ
295,000790.SZ,000790,华神科技,四川,中成药,主板,19980327,SZ
296,000791.SZ,000791,甘肃能源,甘肃,水力发电,主板,19971014,SZ
297,000792.SZ,000792,盐湖股份,青海,农药化肥,主板,19970904,SZ
298,000793.SZ,000793,华闻集团,海南,出版业,主板,19970729,SZ
299,000795.SZ,000795,英洛华,浙江,矿物制品,主板,19970808,SZ
300,000796.SZ,000796,ST凯撒,海南,旅游服务,主板,19970703,SZ
301,000797.SZ,000797,中国武夷,福建,全国地产,主板,19970715,SZ
302,000798.SZ,000798,中水渔业,北京,渔业,主板,19980212,SZ
303,000799.SZ,000799,酒鬼酒,湖南,白酒,主板,19970718,SZ
304,000800.SZ,000800,一汽解放,吉林,汽车整车,主板,19970618,SZ
305,000801.SZ,000801,四川九洲,四川,家用电器,主板,19980506,SZ
306,000802.SZ,000802,北京文化,北京,影视音像,主板,19980108,SZ
307,000803.SZ,000803,山高环能,四川,环境保护,主板,19980303,SZ
308,000806.SZ,000806,*ST银河,广西,电气设备,主板,19980416,SZ
309,000807.SZ,000807,云铝股份,云南,铝,主板,19980408,SZ
310,000809.SZ,000809,ST新城,辽宁,区域地产,主板,19980616,SZ
311,000810.SZ,000810,创维数字,四川,家用电器,主板,19980602,SZ
312,000811.SZ,000811,冰轮环境,山东,工程机械,主板,19980528,SZ
313,000812.SZ,000812,陕西金叶,陕西,广告包装,主板,19980623,SZ
314,000813.SZ,000813,德展健康,新疆,化学制药,主板,19980519,SZ
315,000815.SZ,000815,美利云,宁夏,造纸,主板,19980609,SZ
316,000816.SZ,000816,智慧农业,江苏,农用机械,主板,19970818,SZ
317,000818.SZ,000818,航锦科技,辽宁,化工原料,主板,19971017,SZ
318,000819.SZ,000819,岳阳兴长,湖南,石油加工,主板,19970625,SZ
319,000820.SZ,000820,神雾节能,江西,环境保护,主板,19980630,SZ
320,000821.SZ,000821,京山轻机,湖北,电气设备,主板,19980626,SZ
321,000822.SZ,000822,山东海化,山东,化工原料,主板,19980703,SZ
322,000823.SZ,000823,超声电子,广东,元器件,主板,19971008,SZ
323,000825.SZ,000825,太钢不锈,山西,特种钢,主板,19981021,SZ
324,000826.SZ,000826,启迪环境,湖北,环境保护,主板,19980225,SZ
325,000828.SZ,000828,东莞控股,广东,路桥,主板,19970617,SZ
326,000829.SZ,000829,天音控股,江西,其他商业,主板,19971202,SZ
327,000830.SZ,000830,鲁西化工,山东,农药化肥,主板,19980807,SZ
328,000831.SZ,000831,中国稀土,江西,小金属,主板,19980911,SZ
329,000833.SZ,000833,粤桂股份,广西,食品,主板,19981111,SZ
330,000836.SZ,000836,富通信息,天津,通信设备,主板,19970929,SZ
331,000837.SZ,000837,秦川机床,陕西,机床制造,主板,19980928,SZ
332,000838.SZ,000838,财信发展,重庆,区域地产,主板,19970626,SZ
333,000839.SZ,000839,ST国安,北京,综合类,主板,19971031,SZ
334,000848.SZ,000848,承德露露,河北,软饮料,主板,19971113,SZ
335,000850.SZ,000850,华茂股份,安徽,纺织,主板,19981007,SZ
336,000851.SZ,000851,高鸿股份,贵州,通信设备,主板,19980609,SZ
337,000852.SZ,000852,石化机械,湖北,化工机械,主板,19981126,SZ
338,000856.SZ,000856,冀东装备,河北,专用机械,主板,19980813,SZ
339,000858.SZ,000858,五粮液,四川,白酒,主板,19980427,SZ
340,000859.SZ,000859,国风新材,安徽,塑料,主板,19981119,SZ
341,000860.SZ,000860,顺鑫农业,北京,白酒,主板,19981104,SZ
342,000861.SZ,000861,海印股份,广东,其他商业,主板,19981028,SZ
343,000862.SZ,000862,银星能源,宁夏,新型电力,主板,19980915,SZ
344,000863.SZ,000863,三湘印象,上海,区域地产,主板,19970925,SZ
345,000868.SZ,000868,安凯客车,安徽,汽车整车,主板,19970725,SZ
346,000869.SZ,000869,张裕A,山东,红黄酒,主板,20001026,SZ
347,000875.SZ,000875,吉电股份,吉林,火力发电,主板,20020926,SZ
348,000876.SZ,000876,新希望,四川,饲料,主板,19980311,SZ
349,000877.SZ,000877,天山股份,新疆,水泥,主板,19990107,SZ
350,000878.SZ,000878,云南铜业,云南,铜,主板,19980602,SZ
351,000880.SZ,000880,潍柴重机,山东,专用机械,主板,19980402,SZ
352,000881.SZ,000881,中广核技,辽宁,综合类,主板,19980902,SZ
353,000882.SZ,000882,华联股份,北京,其他商业,主板,19980616,SZ
354,000883.SZ,000883,湖北能源,湖北,火力发电,主板,19980519,SZ
355,000885.SZ,000885,城发环境,河南,环境保护,主板,19990319,SZ
356,000886.SZ,000886,海南高速,海南,区域地产,主板,19980123,SZ
357,000887.SZ,000887,中鼎股份,安徽,汽车配件,主板,19981203,SZ
358,000888.SZ,000888,峨眉山A,四川,旅游景点,主板,19971021,SZ
359,000889.SZ,000889,ST中嘉,河北,通信设备,主板,19971218,SZ
360,000890.SZ,000890,法尔胜,江苏,钢加工,主板,19990119,SZ
361,000892.SZ,000892,欢瑞世纪,重庆,影视音像,主板,19990115,SZ
362,000893.SZ,000893,亚钾国际,广东,农药化肥,主板,19981224,SZ
363,000895.SZ,000895,双汇发展,河南,食品,主板,19981210,SZ
364,000897.SZ,000897,津滨发展,天津,区域地产,主板,19990422,SZ
365,000898.SZ,000898,鞍钢股份,辽宁,普钢,主板,19971225,SZ
366,000899.SZ,000899,赣能股份,江西,火力发电,主板,19971126,SZ
367,000900.SZ,000900,现代投资,湖南,路桥,主板,19990128,SZ
368,000901.SZ,000901,航天科技,黑龙江,汽车配件,主板,19990401,SZ
369,000902.SZ,000902,新洋丰,湖北,农药化肥,主板,19990408,SZ
370,000903.SZ,000903,云内动力,云南,汽车配件,主板,19990415,SZ
371,000905.SZ,000905,厦门港务,福建,港口,主板,19990429,SZ
372,000906.SZ,000906,浙商中拓,浙江,仓储物流,主板,19990707,SZ
373,000908.SZ,000908,景峰医药,湖南,化学制药,主板,19990203,SZ
